school_id,name,suburb,state,postcode,sector,school_type,website,year_range,teaching_staff,non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments
40275,Saint Mary MacKillop College Albury,Jindera,NSW,2642,Independent,Combined,http://smmc.nsw.edu.au/,K-12,9.5,2,136,69,67
40276,St Dominic Savio School,Rockdale,NSW,2216,Independent,Primary,http://www.stdominicsavio.nsw.edu.au/,K-6,3,0.4,31,14,17
40277,Saint Mary MacKillop Colleges Limited,Wagga Wagga,NSW,2650,Independent,Combined,http://www.blessedmary.nsw.edu.au/,K-12,9.4,1,109,54,55
40366,Kinma School,Terrey Hills,NSW,2084,Independent,Primary,http://www.kinma.nsw.edu.au,K-6,6.4,1,74,39,35
40367,Knox Grammar School,Wahroonga,NSW,2076,Independent,Combined,http://www.knox.nsw.edu.au/,K-12,263,193.5,2890,55,2835
40369,Moriah College,Bondi Junction,NSW,2022,Independent,Combined,http://www.moriah.nsw.edu.au/,K-12,121.6,76.4,1414,694,720
40372,St Francis Xavier's College,Hamilton,NSW,2303,Catholic,Secondary,http://hamilton.catholic.edu.au,11-12,88.6,14.9,973,492,481
40374,Holy Spirit Infants School,Abermain,NSW,2326,Catholic,Primary,http://www.abermain.catholic.edu.au,K-2,7,3.8,120,63,57
40375,St Joseph's Catholic Primary School Como - Oyster Bay,Como,NSW,2226,Catholic,Primary,http://stjcomo.catholic.edu.au,K-6,22.4,8,457,232,225
40378,St Therese's Community Primary School,Wilcannia,NSW,2836,Catholic,Primary,http://www.wilcannia.catholic.edu.au,K-3,4,3.3,22,12,10
40381,Highfields Preparatory and Kindergarten School,Lindfield,NSW,2070,Independent,Primary,http://www.highfields.nsw.edu.au,K-2,8.4,3.5,87,42,45
40383,Odyssey House -  Progressive Learning Centre,Eagle Vale,NSW,2558,Independent,Special,http://www.odysseyhouse.com.au,10,4,0,88,34,54
40384,Coffs Harbour Christian Community School,Bonville,NSW,2450,Independent,Combined,http://www.coffsccs.nsw.edu.au,K-12,58.6,46.8,873,449,424
40408,Tangara School for Girls,Cherrybrook,NSW,2126,Independent,Combined,http://www.tangara.nsw.edu.au,K-12,50.4,15.8,564,506,58
40409,Heritage Christian School,Port Macquarie,NSW,2444,Independent,Combined,http://www.heritage.nsw.edu.au,K-12,31,12.2,344,165,179
40436,Chifley College Senior Campus,Mount Druitt,NSW,2770,Government,Secondary,http://www.chifcolsnr-h.schools.nsw.edu.au,"U, 11-12",51.8,14.5,521,259,262
40437,Moree Secondary College Albert St Campus,Moree,NSW,2400,Government,Secondary,http://www.msccarolav-h.schools.nsw.edu.au,10-12,29.6,6.8,212,116,96
40438,St Marys Senior High School,St Marys,NSW,2760,Government,Secondary,http://www.stmaryssen-h.schools.nsw.edu.au,11-12,67.4,12,907,581,326
40440,Brisbane Water Secondary College Woy Woy Campus,Woy Woy,NSW,2256,Government,Secondary,http://www.woywoy-h.schools.nsw.edu.au,"U, 10-12",58.2,12.3,629,305,324
40441,Sydney Secondary College Blackwattle Bay Campus,Glebe,NSW,2037,Government,Secondary,http://www.sscbwattle-h.schools.nsw.edu.au,"U, 11-12",58.6,15.3,673,257,416
40451,All Saints Catholic Senior College,Casula,NSW,2170,Catholic,Secondary,http://allsaintscasula.catholic.edu.au,11-12,41.9,8.9,506,272,234
40452,Tallowood Steiner School,Bowraville,NSW,2449,Independent,Primary,http://www.tallowood.nsw.edu.au/,K-6,3.2,2.2,42,16,26
40492,Australia Street Infants School,Newtown,NSW,2042,Government,Primary,http://www.australist-p.schools.nsw.edu.au,P-2,9.3,4,117,55,62
40493,Russell Lea Public School,Five Dock,NSW,2046,Government,Primary,http://www.russelllea-p.schools.nsw.edu.au,K-6,10.6,2,173,98,75
40494,Taverners Hill Infants School,Petersham,NSW,2049,Government,Primary,http://www.tavernersh-p.schools.nsw.edu.au,K-2,5,1.5,86,37,49
40496,Northern Beaches Secondary College Freshwater Senior Campus,Freshwater,NSW,2096,Government,Secondary,http://www.freshwatersenior.nsw.edu.au,"U, 11-12",58.6,9.9,599,393,206
40499,Yeo Park Infants School,Ashfield,NSW,2131,Government,Primary,http://www.yeoparkinf-p.schools.nsw.edu.au,K-2,3.6,1.4,59,22,37
40512,Fowler Road School,Merrylands,NSW,2160,Government,Special,http://www.fowlerroad-s.schools.nsw.edu.au,U,12.1,9.8,53,12,41
40513,Sefton Infants School,Sefton,NSW,2162,Government,Primary,http://www.seftoninf-p.schools.nsw.edu.au,P-2,9.1,2.8,90,44,46
40522,Mount Lewis Infants School,Greenacre,NSW,2190,Government,Primary,http://www.mtlewisinf-p.schools.nsw.edu.au,K-2,15.3,2,180,73,107
40523,Bankstown South Infants School,Bankstown,NSW,2200,Government,Primary,http://www.bankstowsi-p.schools.nsw.edu.au,P-2,12.3,3.5,130,70,60
40524,Arncliffe West Infants School,Arncliffe,NSW,2205,Government,Primary,http://www.arncliffew-p.schools.nsw.edu.au,P-2,8.5,2.7,89,43,46
40525,Bardwell Park Infants School,Bardwell Park,NSW,2207,Government,Primary,http://www.bardwelpki-p.schools.nsw.edu.au,K-2,3.7,1.4,57,19,38
40526,Hurstville Grove Infants School,Penshurst,NSW,2222,Government,Primary,http://www.hurstvilgr-p.schools.nsw.edu.au,K-2,3.6,1.4,52,22,30
40528,Kotara School,Kotara,NSW,2289,Government,Special,http://www.kotara-s.schools.nsw.edu.au,U,6.9,6.2,27,6,21
40530,Callaghan College Jesmond Campus,Jesmond,NSW,2299,Government,Secondary,http://www.jesmondsenior.org,"U, 11-12",63,14.5,727,356,371
40532,New Lambton Heights Infants School,New Lambton Heights,NSW,2305,Government,Primary,http://www.newlambhti-p.schools.nsw.edu.au/,K-2,4.3,1.4,72,30,42
40533,Nillo Infants School,Lorn,NSW,2320,Government,Primary,http://www.nilloinf-p.schools.nsw.edu.au,K-2,3.7,1.4,56,32,24
40543,Stanford Merthyr Infants School,Stanford Merthyr,NSW,2327,Government,Primary,http://www.stanmerthi-p.schools.nsw.edu.au,K-2,4.6,1.4,67,36,31
40545,Glen Innes West Infants School,Glen Innes,NSW,2370,Government,Primary,http://www.gleninnesw-p.schools.nsw.edu.au,K-2,3.1,0.9,36,22,14
40555,Rugby Public School,Rugby,NSW,2583,Government,Primary,http://www.rugby-p.schools.nsw.edu.au/,K-6,1.5,0.7,4,2,2
40556,Cabramurra Public School,Cabramurra,NSW,2629,Government,Primary,http://www.cabramurra-p.schools.nsw.edu.au,K-6,1.3,0.8,4,3,1
40559,Narrandera East Infants School,Narrandera,NSW,2700,Government,Primary,http://www.narrandere-p.schools.nsw.edu.au/,K-2,4,1.4,56,24,32
40560,Jugiong Public School,Jugiong,NSW,2726,Government,Primary,http://www.jugiong-p.schools.nsw.edu.au,K-6,2.5,0.9,29,13,16
40569,Sofala Public School,Sofala,NSW,2795,Government,Primary,http://www.sofala-p.schools.nsw.edu.au,K-6,1.4,0.9,10,5,5
40573,Goolma Public School,Goolma,NSW,2852,Government,Primary,http://www.goolma-p.schools.nsw.edu.au,K-6,1.3,0.7,9,3,6
40611,St Paul's International College,Moss Vale,NSW,2577,Independent,Secondary,http://www.spic.nsw.edu.au/,7-12,28.8,30.5,167,61,106
40617,De La Salle Catholic College -  Cronulla,Cronulla,NSW,2230,Catholic,Secondary,http://dlscronulla.catholic.edu.au,11-12,38.8,10.1,470,242,228
40618,All Saints College (St Mary's Campus),Maitland,NSW,2320,Catholic,Secondary,http://maitlandsm.catholic.edu.au,11-12,51.3,12.7,596,312,284
40622,Five Islands Secondary College,Port Kembla,NSW,2505,Government,Secondary,http://www.fiveislands-h.schools.nsw.edu.au,"U, 10-12",35.1,9.6,207,131,76
40624,Coffs Harbour Senior College,Coffs Harbour,NSW,2450,Government,Secondary,http://www.coffsharbs-h.schools.nsw.edu.au,11-12,40.1,8.1,487,286,201
40633,Field of Mars Environmental Education Centre,East Ryde,NSW,2113,Government,Special,http://www.fieldofmar-e.schools.nsw.edu.au/,,2,1.2,,,
40637,Bradfield College,St Leonards,NSW,2065,Government,Secondary,http://www.bradfieldcollege.info,11-12,,,335,184,151
40638,Bankstown Senior College,Bankstown,NSW,2200,Government,Secondary,http://www.bankstowns-h.schools.nsw.edu.au,"U, 10-12",58,17.7,497,242,255
40639,Australian Institute of Music,Surry Hills,NSW,2010,Independent,Secondary,http://www.aim.edu.au,11-12,6.2,1,41,27,14
40644,Blacktown Youth College Incorporated,Hebersham,NSW,2770,Independent,Special,http://www.blacktownyouthcollege.nsw.edu.au,7-10,8.6,9.3,95,37,58
40646,Wyndham College,Quakers Hill,NSW,2763,Government,Secondary,http://www.wyndhamcol-h.schools.nsw.edu.au,"U, 11-12",63.7,15.1,693,340,353
40647,Arndell School,North Ryde,NSW,2113,Government,Special,http://www.arndell-s.schools.nsw.edu.au,U,6.8,6.2,19,4,15
40648,Bridge Road School,Camperdown,NSW,2050,Government,Special,http://www.bridgerd-s.schools.nsw.edu.au,U,6.8,6.2,30,3,27
40649,Girrakool School,Kariong,NSW,2250,Government,Special,http://www.girrakool.ssp.education.nsw.gov.au/,U,24.7,18.4,115,0,115
40650,Dorchester School,Campbelltown,NSW,2560,Government,Special,http://www.dorchester-s.schools.nsw.edu.au,U,14.6,12.6,56,36,20
40651,Kyeemagh Infants School,Rockdale,NSW,2216,Government,Primary,http://www.kyeemaghin-p.schools.nsw.edu.au,K-2,3.7,1.4,56,28,28
40652,Putland School,Werrington,NSW,2747,Government,Special,http://www.putland-s.schools.nsw.edu.au/,U,25.8,20.3,55,0,55
40654,Shepherds Park School,Wagga Wagga,NSW,2650,Government,Special,http://www.shepherds-s.schools.nsw.edu.au,U,10.8,8.8,42,0,42
40672,Calrossy Anglican School,Tamworth,NSW,2340,Independent,Combined,http://www.calrossy.nsw.edu.au/,K-12,79.9,52.4,941,550,391
40676,Great Lakes College Senior Campus,Tuncurry,NSW,2428,Government,Secondary,http://www.glctuncsen-h.schools.nsw.edu.au,"U, 11-12",40.7,8.2,457,226,231
40681,Georges River College Oatley Senior Campus,Oatley,NSW,2223,Government,Secondary,http://www.oatleysnr-h.schools.nsw.edu.au,"U, 11-12",72.2,14.9,844,455,389
40691,Induna School,South Grafton,NSW,2460,Government,Special,http://www.induna-s.schools.nsw.edu.au/,U,11.7,9.6,33,0,33
40697,Barrenjoey Montessori School,Avalon Beach,NSW,2107,Independent,Primary,http://www.barrenjoeymontessori.com.au/,K-5,4.8,4.4,48,21,27
40706,Centennial Park School,Randwick,NSW,2031,Government,Special,http://www.centennial-s.schools.nsw.edu.au,U,6.8,6.2,31,13,18
40707,Dubbo College Senior Campus,Dubbo,NSW,2830,Government,Secondary,http://www.dubbosenior.mcc.education.nsw.gov.au/,"U, 11-12",52.7,15.7,471,266,205
40710,Wakefield School,Wakefield,NSW,2278,Government,Special,http://www.wakefield-s.schools.nsw.edu.au,U,7,6.2,26,0,26
40711,Verona School,Fairfield East,NSW,2165,Government,Special,http://www.verona-s.schools.nsw.edu.au,U,9.9,7.8,38,4,34
40712,Palm Avenue School,Westmead,NSW,2145,Government,Special,http://www.palmave-s.schools.nsw.edu.au/,,6.4,7.8,,,
40715,Oxford College - Sydney,Sydney,NSW,2000,Independent,Secondary,http://www.oxford-college.com.au/,,,,,,
40718,Castlecrag Montessori School,Castlecrag,NSW,2068,Independent,Primary,,,,,,,
40721,Lakes Grammar - An Anglican School,Warnervale,NSW,2259,Independent,Combined,http://www.lakes.nsw.edu.au,K-12,65.5,24.7,947,480,467
40724,Alesco Senior College,Cooks Hill,NSW,2300,Independent,Special,https://www.weahunter.edu.au/alesco-senior-college,9-12,21.4,11.4,245,140,105
40725,Lincoln School,Dubbo,NSW,2830,Government,Special,http://www.lincoln-s.schools.nsw.edu.au,U,8.6,6.6,18,0,18
40728,Loyola Senior High School,Mount Druitt,NSW,2770,Catholic,Secondary,http://www.loyolamtdruitt.catholic.edu.au,11-12,48,18.9,577,293,284
40735,Royal Far West School,Manly,NSW,2095,Government,Special,http://www.royalfarwe-s.schools.nsw.edu.au,,8.8,7.8,,,
40739,Stewart House School,Curl Curl,NSW,2096,Government,Special,http://www.stewarthouse.org.au/,,8.8,5.8,,,
40741,Red Hill Environmental Education Centre,Gulgong,NSW,2852,Government,Special,http://www.redhill-e.schools.nsw.edu.au/,,2,1.2,,,
40742,Thalgarrah Environmental Education Centre,Armidale,NSW,2350,Government,Special,http://www.thalgarrah-e.schools.nsw.edu.au/,,1.2,1.2,,,
40743,Awabakal Environmental Education Centre,Dudley,NSW,2290,Government,Special,http://www.awabakal-e.schools.nsw.edu.au/,,,,,,
40744,Botany Bay Environmental Education Centre,Kurnell,NSW,2231,Government,Special,http://www.botanybay-e.schools.nsw.edu.au/,,1,1,,,
40745,Bournda Environmental Education Centre,Kalaru,NSW,2550,Government,Special,http://www.bournda-e.schools.nsw.edu.au/,,2,1.2,,,
40746,Brewongle Environmental Education Centre,Sackville North,NSW,2756,Government,Special,https://brewongleeec.com/,,2,1.2,,,
40747,Camden Park Environmental Education Centre,Menangle,NSW,2568,Government,Special,http://www.camdenpk-e.schools.nsw.edu.au/,,1,1,,,
40748,Cascade Environmental Education Centre,Cascade,NSW,2453,Government,Special,http://www.cascade-e.schools.nsw.edu.au/sws/view/home.node,,1,1,,,
40749,Dorroughby Environmental Education Centre,Dorroughby,NSW,2480,Government,Special,http://www.dorroughby-e.schools.nsw.edu.au/,,1.4,1.2,,,
40750,Georges River Environmental Education Centre,Chipping Norton,NSW,2170,Government,Special,http://www.georgesriv-e.schools.nsw.edu.au/,,1,1,,,
40751,Gibberagong Environmental Education Centre,Bobbin Head,NSW,2077,Government,Special,http://www.gibberagon-e.schools.nsw.edu.au,,2,1.2,,,
40752,Illawarra Environmental Education Centre,Dunmore,NSW,2529,Government,Special,http://web1.illawarra-e.schools.nsw.edu.au/,,2,1.2,,,
40753,Longneck Lagoon Environmental Education Centre,Maraylya,NSW,2765,Government,Special,http://www.longnecklagooneec.com,,2,1.2,,,
40754,Observatory Hill Environmental Education Centre,Millers Point,NSW,2000,Government,Special,http://observatoryhilleec.nsw.edu.au/,,2,1.2,,,
40755,Penrith Lakes Environmental Education Centre,Cranebrook,NSW,2749,Government,Special,http://www.penritlake-e.schools.nsw.edu.au/Welcome.html,,2,1.2,,,
40756,Riverina Environmental Education Centre,Wagga Wagga,NSW,2650,Government,Special,http://www.riverina-e.schools.nsw.edu.au/,,2,1.2,,,
40757,Royal National Park Environmental Education Centre,Audley,NSW,2232,Government,Special,http://www.royalnatpk-e.schools.nsw.edu.au/,,2,1.2,,,
40758,Rumbalara Environmental Education Centre,Gosford,NSW,2250,Government,Special,http://www.rumbalara.eec.education.nsw.gov.au/,,2,1.2,,,
40759,Wambangalang Environmental Education Centre,Dubbo,NSW,2830,Government,Special,http://www.wambangala-e.schools.nsw.edu.au/,,2,1.2,,,
40760,Warrumbungle National Park Environmental Education Centre,Coonabarabran,NSW,2357,Government,Special,http://www.warrumbung-e.schools.nsw.edu.au/,,1,1,,,
40761,Wetlands Environmental Education Centre,Shortland,NSW,2307,Government,Special,http://www.wetlandseec.schoolwebsites.com.au/,,2.4,1.2,,,
40762,Wooglemai Environmental Education Centre,Oakdale,NSW,2570,Government,Special,http://www.wooglemai-e.schools.nsw.edu.au/,,2,1.2,,,
40773,Woodberry Learning Centre,Woodberry,NSW,2322,Government,Special,http://www.schools.nsw.edu.au/schoolfind/locator/?do=showRecord&code=5764,U,4.8,4.2,15,1,14
40775,Holmes Secondary College,Sydney,NSW,2000,Independent,Secondary,http://www.holmes.edu.au,,,,,,
40779,Warakirri College,Fairfield,NSW,2165,Independent,Special,http://www.mtcwork.com.au/youth.php?file=youth02.htm,10-12,15.2,2,128,80,48
40790,Hunter Trade College,Telarah,NSW,2320,Independent,Secondary,http://www.htc.nsw.edu.au,11-12,12.6,11.2,205,6,199
40792,Newman Senior Technical College,Port Macquarie,NSW,2444,Catholic,Secondary,http://www.newman.nsw.edu.au,11-12,27.5,22.3,287,125,162
40795,NSW School of Languages,Randwick,NSW,2031,Government,Secondary,http://www.theopenhs-d.schools.nsw.edu.au,,77,12.4,,,
40801,St George Hospital School,Kogarah,NSW,2217,Government,Special,http://www.stgeorgeho-s.schools.nsw.edu.au/sws/view/home.node,,2.3,1.5,,,
40802,Royal Prince Alfred Hospital School,Camperdown,NSW,2050,Government,Special,http://www.rpahos-s.schools.nsw.edu.au/,,2.3,1.5,,,
40803,Royal North Shore Hospital School,St Leonards,NSW,2065,Government,Special,http://www.royalnshos-s.schools.nsw.edu.au,,3.3,2,,,
40804,Sydney Childrens Hospital School,Randwick,NSW,2031,Government,Special,http://www.sydchnhos-s.schools.nsw.edu.au/sws/view/home.node,,7.9,5.4,,,
40805,Sutherland Hospital School,Caringbah,NSW,2229,Government,Special,http://www.sutherhos-s.schools.nsw.edu.au/,,2.3,1.5,,,
40806,Bankstown Hospital School,Bankstown,NSW,2200,Government,Special,http://www.banksthos-s.schools.nsw.edu.au/,,2.3,1.5,,,
40807,Illawarra Hospital School,Wollongong,NSW,2500,Government,Special,http://www.illawarhos-s.schools.nsw.edu.au/,,2.3,1.5,,,
40808,John Hunter Hospital School,New Lambton Heights,NSW,2305,Government,Special,http://www.johnhunter-s.schools.nsw.edu.au/,,3.4,2,,,
40809,The Childrens Hospital School,Westmead,NSW,2145,Government,Special,http://www.childhosp-s.schools.nsw.edu.au/,,11.2,5.4,,,
40810,Liverpool Hospital School,Liverpool,NSW,2170,Government,Special,http://www.liverplhos-s.schools.nsw.edu.au,,2.3,1.5,,,
40819,Sydney Adventist School Auburn,Auburn,NSW,2144,Independent,Primary,http://www.auburn.adventist.edu.au,K-6,7.8,2.4,118,58,60
40825,Trades Norwest Anglican Senior College,Glenwood,NSW,2768,Independent,Secondary,http://www.tradesnorwest.nsw.edu.au,10-12,7,4,84,8,76
40827,Pacific Coast Christian School,Tweed Heads South,NSW,2486,Independent,Combined,http://www.pacificcoast.nsw.edu.au,K-12,26,15.5,372,174,198
40831,Our Lady of the Angels Primary School,Kellyville,NSW,2155,Catholic,Primary,http://www.olarousehill.catholic.edu.au,K-6,26.4,4,505,265,240
40832,Lindfield Montessori Preschool,Lindfield West,NSW,2070,Independent,Primary,http://www.lindfieldmontessori.nsw.edu.au,K,2,1,4,1,3
40844,Cameragal Montessori School,Neutral Bay,NSW,2089,Independent,Primary,http://cameragal.nsw.edu.au/,K-3,4.9,7.4,35,17,18
40845,Karuna Montessori School,Narraweena,NSW,2099,Independent,Primary,http://www.karuna.com.au,K,2.5,1,7,5,2
40847,Indie School Albury,Albury,NSW,2640,Independent,Special,https://www.awcc.edu.au/,9-10,4,4.2,42,21,21
40850,Farmhouse Montessori School,North Balgowlah,NSW,2093,Independent,Primary,http://farmhousemontessori.org.au/,K-3,4,2.4,34,17,17
40892,All Saints Grammar,Belmore,NSW,2192,Independent,Combined,,K-12,51.8,16.8,614,292,322
40921,Reddam House,Woollahra,NSW,2025,Independent,Combined,,K-12,92.3,20.1,1112,496,616
40926,Clarence Valley Anglican School,Clarenza,NSW,2460,Independent,Combined,,K-12,26.4,11.1,302,143,159
40976,Petes Place,Blacktown,NSW,2148,Independent,Secondary,http://www.marist180.org.au,7-10,4,1.5,16,4,12
40987,Abbotsford Public School,Abbotsford,NSW,2046,Government,Primary,http://www.abbotsford-p.schools.nsw.edu.au,K-6,33.6,4.3,627,321,306
40988,Annandale Public School,Annandale,NSW,2038,Government,Primary,http://www.annandale-p.schools.nsw.edu.au,P-6,27.3,6.4,392,187,205
40989,Annandale North Public School,Annandale,NSW,2038,Government,Primary,http://www.annandalen-p.schools.nsw.edu.au,K-6,20,3.1,397,205,192
40990,Ashbury Public School,Ashbury,NSW,2193,Government,Primary,http://www.ashbury-p.schools.nsw.edu.au,K-6,20.1,2.9,367,180,187
40991,Ashfield Public School,Ashfield,NSW,2131,Government,Primary,http://www.ashfield-p.schools.nsw.edu.au,"U, K-6",26.5,6.1,442,220,222
40992,Banksmeadow Public School,Botany,NSW,2019,Government,Primary,http://www.banksmeado-p.schools.nsw.edu.au,"U, P-6",19,7.7,273,118,155
40993,Bellevue Hill Public School,Bellevue Hill,NSW,2023,Government,Primary,http://www.bellevuehi-p.schools.nsw.edu.au,K-6,34.6,4.1,619,311,308
40994,Beverly Hills Public School,Beverly Hills,NSW,2209,Government,Primary,http://www.beverlyhi-p.schools.nsw.edu.au,K-6,30.8,4,545,251,294
40995,Birchgrove Public School,Balmain,NSW,2041,Government,Primary,http://www.birchgrove-p.schools.nsw.edu.au,P-6,21.4,5.1,357,199,158
40996,Blakehurst Public School,Blakehurst,NSW,2221,Government,Primary,http://www.blakehurst-p.schools.nsw.edu.au,K-6,16.6,2.5,269,127,142
40997,Bondi Beach Public School,Bondi Beach,NSW,2026,Government,Primary,http://www.bondibeach-p.schools.nsw.edu.au,K-6,33.9,4.1,630,310,320
40998,Botany Public School,Botany,NSW,2019,Government,Primary,http://www.botany-p.schools.nsw.edu.au,K-6,16.7,2.5,274,137,137
40999,Brighton-Le-Sands Public School,Brighton-Le-Sands,NSW,2216,Government,Primary,http://www.brightonle-p.schools.nsw.edu.au,K-6,42.2,4.5,723,341,382
41000,Bronte Public School,Bronte,NSW,2024,Government,Primary,http://www.bronte-p.schools.nsw.edu.au,K-6,21.5,3.1,418,202,216
41001,Camdenville Public School,Newtown,NSW,2042,Government,Primary,http://www.camdenvill-p.schools.nsw.edu.au,P-6,16.4,5.1,263,115,148
41002,Canterbury Public School,Canterbury,NSW,2193,Government,Primary,http://www.canterbury-p.schools.nsw.edu.au,"U, K-6",30.6,7.8,330,159,171
41003,Caringbah Public School,Caringbah,NSW,2229,Government,Primary,http://www.caringbah-p.schools.nsw.edu.au,K-6,15.7,2.5,268,118,150
41004,Carlton Public School,Bexley,NSW,2207,Government,Primary,http://www.carlton-p.schools.nsw.edu.au,K-6,54.7,5.2,856,393,463
41005,Carlton South Public School,Carlton,NSW,2218,Government,Primary,http://www.carltonsth-p.schools.nsw.edu.au/,K-6,35,4.1,610,290,320
41006,Clemton Park Public School,Earlwood,NSW,2206,Government,Primary,http://www.clemtonpk-p.schools.nsw.edu.au,K-6,37.1,4.1,591,283,308
41007,Clovelly Public School,Waverley,NSW,2024,Government,Primary,http://www.clovelly-p.schools.nsw.edu.au,K-6,31.7,4.1,596,305,291
41008,Como Public School,Como,NSW,2226,Government,Primary,http://www.como-p.schools.nsw.edu.au,K-6,5.9,1.7,99,42,57
41009,Connells Point Public School,South Hurstville,NSW,2221,Government,Primary,http://www.connellspt-p.schools.nsw.edu.au,K-6,29.4,4,544,247,297
41010,Coogee Public School,Coogee,NSW,2034,Government,Primary,http://www.coogeepublicschool.com,K-6,33,4.1,609,292,317
41011,Cronulla Public School,Cronulla,NSW,2230,Government,Primary,http://www.cronulla-p.schools.nsw.edu.au,"U, K-6",22,3.8,382,173,209
41012,Darlington Public School,Chippendale,NSW,2008,Government,Primary,http://www.darlington-p.schools.nsw.edu.au,P-6,18.9,5.6,234,110,124
41013,Double Bay Public School,Double Bay,NSW,2028,Government,Primary,http://www.doublebay-p.schools.nsw.edu.au,K-6,18,2.8,331,161,170
41014,Drummoyne Public School,Drummoyne,NSW,2047,Government,Primary,http://www.drummoyne-p.schools.nsw.edu.au,K-6,37.4,4.3,685,355,330
41015,Earlwood Public School,Earlwood,NSW,2206,Government,Primary,http://www.earlwood-p.schools.nsw.edu.au,"U, K-6",43.9,5.3,664,302,362
41016,Engadine Public School,Engadine,NSW,2233,Government,Primary,http://www.engadine-p.schools.nsw.edu.au,"U, K-6",24.2,6.8,356,163,193
41017,Five Dock Public School,Five Dock,NSW,2046,Government,Primary,http://www.fivedock-p.schools.nsw.edu.au,"U, P-6",28,7.3,408,192,216
41018,Forest Lodge Public School,Forest Lodge,NSW,2037,Government,Primary,http://www.forestlodg-p.schools.nsw.edu.au/,K-6,19.9,2.8,347,175,172
41019,Fort Street Public School,Sydney,NSW,2000,Government,Primary,http://www.fortstreet-p.schools.nsw.edu.au,K-6,11.2,2,181,81,100
41020,Glenmore Road Public School,Paddington,NSW,2021,Government,Primary,http://www.glenmoreroadpublicschool.com,K-6,17.8,2.8,354,201,153
41021,Gymea Bay Public School,Gymea Bay,NSW,2227,Government,Primary,http://www.gymeabayps.nsw.edu.au/,K-6,46.9,4.9,816,391,425
41022,Haberfield Public School,Haberfield,NSW,2045,Government,Primary,http://www.haberfield-p.schools.nsw.edu.au,K-6,36.7,4.1,623,311,312
41023,Heathcote Public School,Heathcote,NSW,2233,Government,Primary,http://www.heathcote-p.schools.nsw.edu.au,K-6,16.7,2.8,317,163,154
41024,Hurstville Public School,Hurstville,NSW,2220,Government,Primary,http://www.hurstville-p.schools.nsw.edu.au,"U, K-6",74.3,10.9,1250,590,660
41025,Hurstville South Public School,Hurstville,NSW,2220,Government,Primary,http://www.hurstvills-p.schools.nsw.edu.au,K-6,30.1,4,506,247,259
41026,Kegworth Public School,Leichhardt,NSW,2040,Government,Primary,http://www.kegworth-p.schools.nsw.edu.au,P-6,20.2,4.1,329,164,165
41027,Kensington Public School,Kensington,NSW,2033,Government,Primary,http://www.kensington-p.schools.nsw.edu.au,K-6,26.7,3.3,444,200,244
41028,Kingsgrove Public School,Kingsgrove,NSW,2208,Government,Primary,http://www.kingsgrove-p.schools.nsw.edu.au,K-6,31.6,4.2,494,240,254
41029,Bexley North Public School,Bexley,NSW,2207,Government,Primary,http://www.bexleynth-p.schools.nsw.edu.au,K-6,28.7,4,528,255,273
41030,Kogarah Public School,Kogarah,NSW,2217,Government,Primary,http://www.kogarah-p.schools.nsw.edu.au,K-6,26,3,410,189,221
41031,Kurnell Public School,Kurnell,NSW,2231,Government,Primary,http://www.kurnell-p.schools.nsw.edu.au,K-6,12.7,2.4,203,98,105
41032,La Perouse Public School,La Perouse,NSW,2036,Government,Primary,http://www.laperouse-p.schools.nsw.edu.au,K-6,3.9,1.9,25,7,18
41033,Malabar Public School,Malabar,NSW,2036,Government,Primary,http://malabarpublicschool.com/,K-6,15.9,2.8,299,160,139
41034,Maroubra Bay Public School,Maroubra,NSW,2035,Government,Primary,http://www.maroubraba-p.schools.nsw.edu.au,K-6,18.8,2.9,320,158,162
41035,Mascot Public School,Mascot,NSW,2020,Government,Primary,http://www.mascot-p.schools.nsw.edu.au,P-6,23.6,5.2,348,162,186
41036,Matraville Public School,Matraville,NSW,2036,Government,Primary,http://www.matraville-p.schools.nsw.edu.au,K-6,14.4,2.4,232,104,128
41037,Menai Public School,Menai,NSW,2234,Government,Primary,http://www.menai-p.schools.nsw.edu.au,K-6,9.1,1.6,86,46,40
41038,Miranda Public School,Miranda,NSW,2228,Government,Primary,http://www.miranda-p.schools.nsw.edu.au,"U, K-6",17.5,5.7,280,132,148
41039,Mortdale Public School,Mortdale,NSW,2223,Government,Primary,http://www.mortdale-p.schools.nsw.edu.au,K-6,22.3,2.9,374,197,177
41040,Newtown North Public School,Newtown,NSW,2042,Government,Primary,http://www.newtownn-p.schools.nsw.edu.au,K-6,14.7,2.5,283,140,143
41041,Nicholson Street Public School,Balmain East,NSW,2041,Government,Primary,http://www.nicholson-p.schools.nsw.edu.au,K-6,9.6,2,167,81,86
41042,Oatley Public School,Oatley,NSW,2223,Government,Primary,http://www.oatley-p.schools.nsw.edu.au,K-6,28.6,4.2,533,264,269
41043,Orange Grove Public School,Leichhardt,NSW,2040,Government,Primary,http://www.orangegrov-p.schools.nsw.edu.au,P-6,24.9,4.3,428,214,214
41044,Peakhurst Public School,Peakhurst,NSW,2210,Government,Primary,http://www.peakhurst-p.schools.nsw.edu.au,"U, K-6",36.9,7.1,624,318,306
41045,Penshurst Public School,Penshurst,NSW,2222,Government,Primary,http://www.penshurst-p.schools.nsw.edu.au,"U, K-6",30.1,6.4,440,223,217
